"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"118",1100,30,0,0,0,-0.16175748890717,0.0721163880908047,0.00049868237058015
"119",3000,30,0,0,0,-0.154513680253157,0.0150148405038062,0.0354158912386322
"120",8200,30,0,0,0,-0.182299359095196,0.0124744430518973,0.00291388314396146
"121",500,31,0,0,0,-0.120349598743094,-0.0172659465164368,0.0326942642517543
"122",1100,31,0,0,0,-0.28705387251893,-0.254837492869846,-0.0846190310384721
"123",3000,31,0,0,0,-0.145358810107959,0.100941538068792,0.0603787475580198
"124",8200,31,0,0,0,-0.171667281537518,0.015542996182635,0.00840665868188073
"125",500,32,0,0,0,-0.122398484858046,-0.323955738052236,0.0817560856375847
"126",1100,32,0,0,0,-0.225507294995764,-0.167108627692428,-0.106549421897299
"127",3000,32,0,0,0,-0.171443751648442,0.0211793531860545,0.0340724389948088
"128",8200,32,0,0,0,-0.178045544129529,0.0139274981132602,0.0232375002842562
"129",500,33,0,0,0,-0.164207039923151,-0.277960139144977,-0.0399469706617577
"130",1100,33,0,0,0,-0.166513462941801,-0.136963390136864,-0.00744173532006431
"131",3000,33,0,0,0,-0.123804518606367,-0.157323404407498,0.0407980329247868
"132",8200,33,0,0,0,-0.211194925731603,-0.017795356050737,-0.0284407702794591
"133",500,34,0,0,0,-0.208225088644828,-0.253535856487223,-0.045752416328527
"134",1100,34,0,0,0,-0.141111480776947,-0.285410874906186,0.0982713902913379
"135",3000,34,0,0,0,-0.201875324112375,-0.0144196024012887,0.00887656227737565
"136",8200,34,0,0,0,-0.22570804123597,-0.0187161395372335,-0.0449485953742456
"137",500,35,0,0,0,-0.263259842492152,-0.0964973341649819,-0.0828642626749452
"138",1100,35,0,0,0,-0.11323351187111,0.0812217210348349,0.119498195106998
"139",3000,35,0,0,0,-0.177528014222399,0.0368400753627758,0.0350770201669592
"140",8200,35,0,0,0,-0.18619064192761,0.00561051634177878,-0.00308277661070933
"141",500,36,0,0,0,-0.158040445156459,-0.0910400271649738,0.0572641140479992
"142",1100,36,0,0,0,-0.195861384944221,-0.0258746698383345,-0.0203883111477943
"143",3000,36,0,0,0,-0.141097585582673,0.0630796609582811,0.0275306495721437
"144",8200,36,0,0,0,-0.202761759910312,-0.0660307132336442,-0.0173240256286719
"145",500,37,0,0,0,-0.263104407222915,-0.145585021566432,-0.0964167427317262
"146",1100,37,0,0,0,-0.179756141324888,0.058187781586839,0.00233457897083578
"147",3000,37,0,0,0,-0.185757670807709,0.0543856249575705,0.00155830846168614
"148",8200,37,0,0,0,-0.173932818712167,0.0338240765287454,0.0181567121174948
"149",500,38,0,0,0,-0.147066350906855,-0.295474093004147,0.145875963121775
"150",1100,38,0,0,0,-0.262411358230615,-0.133636529790168,-0.084095362643389
"151",3000,38,0,0,0,-0.208585490144048,-0.0877454191761665,-0.0107256362584581
"152",8200,38,0,0,0,-0.196749292618802,-0.275027919535055,-0.00972083154230496
"153",500,39,0,0,0,-0.15009661621368,0.100325486280116,0.0630863608212024
"154",1100,39,0,0,0,-0.173967616798872,-0.347224399965844,0.0424459425583961
"155",3000,39,0,0,0,-0.171404949007701,-0.0574316603561617,0.0249792244537841
"156",8200,39,0,0,0,-0.218996500318009,-0.258438086703109,-0.0155070466573953
"157",500,40,0,0,0,-0.29288156500763,-0.258350148189588,-0.117239961871254
"158",1100,40,0,0,0,-0.169260563398754,0.0246947146060676,0.0342695006503821
"159",3000,40,0,0,0,-0.21172804773349,0.00722689483688677,-0.0280283650789633
